Employee_ID,Employee_Name,Department,Performance_Rating
101,Amit Sharma,Sales,5
102,Neha Verma,Sales,4
103,Rohit Singh,Sales,3
104,Priya Nair,Sales,2
105,Karan Patel,Sales,5
106,Sneha Joshi,Sales,4
107,Vikas Mehta,HR,4
108,Anjali Shah,HR,3
109,Rahul Gupta,HR,5
110,Pooja Iyer,HR,2
111,Manish Rao,HR,4
112,Kavita Das,HR,3
113,Arjun Kumar,Finance,5
114,Meera Kulkarni,Finance,4
115,Nitin Jain,Finance,3
116,Divya Menon,Finance,2
117,Sahil Khan,Finance,4
118,Riya Kapoor,Finance,5
119,Mohit Bansal,IT,5
120,Aisha Sheikh,IT,4
121,Deepak Verma,IT,3
122,Nisha Gupta,IT,4
123,Rakesh Singh,IT,2
124,Simran Kaur,IT,5
125,Aditya Joshi,Marketing,4
126,Pallavi Rao,Marketing,5
127,Tanmay Desai,Marketing,3
128,Farah Khan,Marketing,2
129,Yash Mehta,Marketing,4
130,Sonal Kapoor,Marketing,5
