Customer_ID,Customer_Name,Age,Gender,Income,Orders_Last_Year,Average_Order_Value,City,App_Usage_Hours,Membership_Years,Premium_Member
C000001,Aanya Verma,43,Male,97822.0,13,3086.0,Surat,5.3,3,0
C000002,Neha Kumar,22,Male,92126.0,13,3929.0,Hyderabad,3.9,10,0
C000003,Vivaan Das,55,Female,86821.0,11,2598.0,Kolkata,4.4,2,0
C000004,Meera Kulkarni,53,Male,95948.0,14,3810.0,Indore,5.6,1,1
C000005,Nisha Nair,49,Female,74764.0,3,5011.0,Hyderabad,3.9,12,0
C000006,Manish Reddy,23,Female,19640.0,8,3308.0,Pune,3.2,1,0
C000007,Sai Desai,27,Female,13643.0,17,5532.0,Nagpur,6.0,5,1
C000008,Priya Pillai,49,Female,80064.0,11,3152.0,Pune,7.9,0,0
C000009,Diya Das,61,Female,64676.0,15,3311.0,Ahmedabad,4.4,5,1
C000010,Vihaan Mehta,21,Male,71504.0,6,3526.0,Kochi,6.8,7,1
C000011,Pooja Mishra,53,Female,104375.0,2,4454.0,Kolkata,3.6,5,0
C000012,Sneha Reddy,27,Male,78121.0,13,3716.0,Jaipur,7.1,2,0
C000013,Aarav Verma,44,Female,53110.0,6,6012.0,Jaipur,7.6,10,0
C000014,Vivaan Jain,67,Female,49932.0,13,1691.0,Hyderabad,5.0,1,0
C000015,Pooja Iyer,25,Female,60631.0,8,1461.0,Chennai,3.8,9,0
C000016,Isha Nair,57,Female,81344.0,13,2516.0,Pune,6.4,1,0
C000017,Pooja Mehta,48,Female,79958.0,11,2723.0,Kochi,6.1,11,1
C000018,Aarav Nair,51,Female,88930.0,15,5674.0,Lucknow,5.2,1,1
C000019,Ananya Bose,41,Male,59059.0,13,1444.0,Lucknow,4.2,3,0
C000020,Deepak Nair,69,Male,87078.0,1,3816.0,Chennai,7.2,11,1
C000021,Aarav Joshi,48,Female,81817.0,17,1672.0,Indore,7.8,5,0
C000022,Priya Gupta,32,Male,72398.0,13,4211.0,Bhopal,7.5,9,0
C000023,Rohan Chopra,69,Male,76407.0,7,1329.0,Hyderabad,6.8,7,0
C000024,Neha Desai,23,Female,29867.0,12,4411.0,Bengaluru,5.4,0,0
C000025,Tanvi Jain,69,Male,44283.0,4,300.0,Bengaluru,5.6,8,0
C000026,Aarav Sharma,69,Male,12581.0,7,300.0,Kochi,6.4,3,1
C000027,Ishaan Kulkarni,50,Male,71906.0,4,300.0,Mumbai,3.8,11,0
C000028,Pooja Das,70,Female,93900.0,0,4203.0,Surat,5.6,0,0
C000029,Manish Iyer,56,Male,72319.0,6,5075.0,Pune,7.0,8,1
C000030,Ritika Bose,51,Female,72530.0,7,2235.0,Delhi,4.2,0,0
C000031,Rahul Jain,53,Male,73462.0,0,1177.0,Surat,5.8,9,0
C000032,Siddharth Joshi,46,Female,51162.0,9,300.0,Bhopal,4.2,4,0
C000033,Tanvi Nair,46,Male,,12,2418.0,Kolkata,7.5,1,1
C000034,Diya Singh,67,Male,103341.0,6,2582.0,Bengaluru,5.9,7,0
C000035,Vihaan Mishra,49,Male,117159.0,9,4510.0,Surat,6.6,6,1
C000036,Ishaan Chopra,38,Male,69136.0,8,1671.0,Mumbai,4.1,6,0
C000037,Nisha Kulkarni,50,Male,112493.0,18,3994.0,Pune,8.9,4,1
C000038,Tanvi Iyer,35,Male,90657.0,0,1549.0,Kolkata,0.5,2,0
C000039,Rahul Das,49,Female,77281.0,11,2782.0,Pune,2.9,4,0
C000040,Kavya Gupta,69,Female,112578.0,15,6777.0,Ahmedabad,6.4,0,1
C000041,Karan Kumar,35,Male,107871.0,12,7894.0,Delhi,2.8,0,1
C000042,Yash Kulkarni,58,Female,53348.0,9,966.0,Delhi,5.8,5,0
C000043,Ananya Patel,18,Male,66642.0,2,4258.0,Bhopal,6.9,7,0
C000044,Shreya Kumar,60,Female,19774.0,6,5017.0,Hyderabad,4.5,3,0
C000045,Shreya Verma,43,Female,117309.0,8,6012.0,Bhopal,5.1,4,1
C000046,Vivaan Gupta,60,Female,95593.0,3,3232.0,Delhi,6.3,0,0
C000047,Sai Joshi,46,Male,64690.0,25,5732.0,Hyderabad,4.4,0,0
